beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
264.6569,297.5671,-32.9101,-11.06,2.8217,196.6218,98.5134,18.6425,14.6575,0.8261,-0.1739,84.3081,0.2092,0.0,0.0256,2,10.5632,111.7173,50.8384,1.0144,0.9544,3,1,False,92
306.4434,297.5671,8.8763,2.98,15.5039,180.4449,159.9211,18.8436,30.5828,0.625,-0.375,81.5638,0.25,0.0,0.1473,4,9.6941,123.4307,47.7987,1.0628,0.8318,4,0,False,93
191.9584,297.5671,-105.6087,-35.49,23.8402,167.4575,32.3864,18.5304,13.1952,1.156,0.156,84.5899,0.0,0.0,0.0,0,8.9964,97.9358,58.2062,0.9399,1.107,3,1,False,94
266.4465,297.5671,-31.1205,-10.46,22.1455,182.0529,129.6579,19.2186,48.1912,0.4202,-0.5798,83.1179,0.25,0.0,0.0,0,9.7805,117.0309,49.5047,1.0867,0.849,3,1,False,95
418.854,297.5671,121.2869,40.76,2.6953,204.2288,237.1794,18.5969,6.6527,1.0808,0.0808,82.3241,0.0,0.0,0.0,0,10.9719,146.3386,49.6894,0.9898,1.081,4,4,False,96
219.5265,297.5671,-78.0405,-26.23,-0.4109,176.2453,81.0852,18.2225,19.1706,1.2324,0.2324,82.5003,0.0,0.0,0.0,0,9.4685,107.1101,52.5993,0.9296,1.0981,1,3,False,97
216.5227,297.5671,-81.0444,-27.24,7.4929,171.3825,55.3076,17.1712,0.4891,1.006,0.006,80.8481,0.0,0.25,0.0,0,9.2072,101.5859,41.337,0.853,0.9842,6,3,False,98
292.0502,297.5671,-5.5169,-1.85,10.3535,182.188,150.5302,17.2946,33.7269,0.59,-0.41,82.2607,0.5,0.2092,0.1913,5,9.7877,122.8946,49.6419,1.0243,1.0671,5,3,False,99
292.0814,297.5671,-5.4857,-1.84,22.329,185.391,136.0832,18.2471,33.4747,0.5923,-0.4077,82.1032,0.4592,0.0,0.0,0,9.9598,119.3789,48.4241,1.0149,1.2244,3,1,False,100
268.6677,297.5671,-28.8994,-9.71,9.2374,200.4293,100.7101,17.8707,23.8384,0.7107,-0.2893,82.3902,0.4773,0.0,0.0,0,10.7677,111.3316,51.2559,0.9949,0.8878,6,2,False,101
301.4516,297.5671,3.8845,1.31,-4.3516,181.7739,177.5041,19.9445,33.5303,0.59,-0.41,81.7813,0.0,0.0,0.4323,10,9.7655,123.6979,51.2426,1.2422,1.199,6,3,False,102
230.1058,297.5671,-67.4612,-22.67,-5.5244,190.546,89.7864,15.4911,29.2111,1.3528,0.3528,82.8058,0.4592,0.0,0.0,0,10.2368,118.1644,52.1713,0.6893,1.19,6,1,False,103
278.2784,297.5671,-19.2887,-6.48,3.1187,194.9849,97.5275,16.9062,0.4465,1.0056,0.0056,79.861,0.4592,0.0,0.0,0,10.4752,110.8981,59.4998,0.8533,1.3599,5,1,False,104
265.441,297.5671,-32.1261,-10.8,6.3138,182.336,128.4956,17.4662,34.2382,0.59,-0.41,83.5078,0.6683,0.0,0.1499,4,9.7957,119.4232,56.4729,1.0093,1.2662,5,1,False,105
183.1237,297.5671,-114.4434,-38.46,7.7582,179.839,41.4682,17.903,28.0387,0.6613,-0.3387,82.7768,0.5,0.0,0.3768,8,9.6616,99.4278,59.7704,1.0778,0.9136,7,1,False,106
378.0052,297.5671,80.4382,27.03,25.6622,197.6828,175.1729,16.3714,4.1412,1.0511,0.0511,81.0663,0.25,0.4695,0.0,0,10.6202,134.6391,42.4092,0.8497,0.875,3,2,False,107
263.9954,297.5671,-33.5716,-11.28,32.8506,177.8444,104.3254,17.4126,33.6124,0.59,-0.41,81.9814,0.443,0.2195,0.213,7,9.5544,112.07,42.401,1.0359,1.0298,6,3,False,108
334.2404,297.5671,36.6733,12.32,18.3812,176.0437,187.2618,17.9315,29.5149,0.6422,-0.3578,82.4976,0.5,0.0,0.023,1,9.4577,131.7474,57.4114,0.9978,0.8976,4,1,False,109
288.4721,297.5671,-9.095,-3.06,9.7268,189.9734,140.9357,15.5808,36.5829,1.4405,0.4405,83.0405,0.5,0.0,0.0,0,10.206,134.6743,50.5417,0.7196,1.0832,7,2,False,110
308.5297,297.5671,10.9627,3.68,28.9151,178.9687,152.944,18.9881,33.3099,0.59,-0.41,81.2437,0.25,0.0,0.3101,7,9.6148,121.8189,55.5319,1.1439,1.057,5,2,False,111
265.6337,297.5671,-31.9334,-10.73,9.6463,176.3822,129.8956,19.0248,31.2657,0.617,-0.383,81.6396,0.0,0.25,0.0,0,9.4758,115.8411,65.6024,1.0835,1.293,6,4,False,112
305.7497,297.5671,8.1826,2.75,10.0408,188.4726,171.1631,19.0641,44.8627,0.4616,-0.5384,83.3294,0.25,0.0,0.0,0,10.1254,125.4583,57.4143,1.0588,0.628,3,0,False,113
324.9542,297.5671,27.3871,9.2,14.8723,187.1585,149.5005,17.2981,9.279,1.1109,0.1109,83.6562,0.2273,0.193,0.0,0,10.0548,127.7189,59.5298,0.9287,0.8279,6,4,False,114
356.7363,297.5671,59.1692,19.88,20.013,180.1778,226.9497,17.6264,52.7778,0.365,-0.635,83.1146,0.5,0.2092,0.2042,4,9.6798,140.559,44.4092,1.0572,0.8445,7,2,False,115
