beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
137.4684,297.5671,-160.0986,-53.8,6.616,163.578,17.7665,18.3388,32.1533,0.59,-0.41,78.4226,0.2092,0.25,5.9832,44,8.788,79.5817,58.5688,2.5426,1.4907,14,5,True,103
287.9228,297.5671,-9.6443,-3.24,4.1476,237.3138,120.5449,14.5569,59.5267,0.365,-0.635,93.7429,1.094,0.4364,2.2477,29,12.7493,127.8658,48.6656,1.4387,0.6524,17,6,True,104
157.0492,297.5671,-140.5179,-47.22,36.621,160.005,-0.0458,14.0149,25.5162,1.3068,0.3068,83.1636,0.9021,0.0,0.0,0,8.596,89.9106,44.9705,0.6678,0.7835,15,5,True,105
256.0618,297.5671,-41.5053,-13.95,-10.0611,181.8935,135.1178,15.4655,35.423,0.59,-0.41,86.3974,0.9183,0.25,0.2792,5,9.7719,126.2374,51.8566,0.9744,0.6213,15,5,True,106
454.0496,297.5671,156.4825,52.59,19.02,187.4789,313.6587,14.3655,51.7426,0.365,-0.635,81.4843,1.1378,0.4592,0.4679,9,10.072,169.6733,52.3203,0.9705,0.9671,13,5,True,107
175.8866,297.5671,-121.6804,-40.89,2.9391,187.7393,36.834,14.974,36.6518,0.59,-0.41,89.3947,1.1378,0.2092,0.1021,3,10.086,104.7082,51.1553,0.854,1.4225,16,1,True,108
143.3909,297.5671,-154.1762,-51.81,15.1967,166.0793,52.5646,15.6642,74.7855,0.14,-0.86,86.9599,0.943,0.4695,6.5799,48,8.9223,96.384,53.4595,2.5611,1.5675,19,5,True,109
143.4944,297.5671,-154.0727,-51.78,-44.64,169.5709,69.0919,16.2998,34.2287,0.59,-0.41,83.4846,0.5,0.4592,2.115,28,9.1099,103.3622,40.7313,1.5131,0.7941,17,8,True,110
233.2516,297.5671,-64.3155,-21.61,32.7305,171.8009,56.4215,15.6472,12.054,1.1403,0.1403,85.9414,0.0,0.7092,0.0,0,9.2297,109.4378,33.8923,0.8009,0.6534,9,6,True,111
392.1124,297.5671,94.5453,31.77,80.573,201.6195,163.5539,16.3308,37.3032,0.59,-0.41,90.9835,0.6864,0.25,5.1451,45,10.8317,135.3507,46.3443,2.1321,0.6759,16,2,True,112
530.8347,297.5671,233.2676,78.39,-9.2312,214.9407,399.0097,16.9834,56.9011,0.365,-0.635,89.6081,0.8656,0.0,0.3831,7,11.5473,190.2223,52.7386,1.1284,0.7931,9,5,True,113
196.6471,297.5671,-100.92,-33.92,20.8999,155.7579,93.6789,16.2567,57.4329,0.365,-0.635,90.4456,0.8278,0.25,0.1121,3,8.3678,118.9163,51.759,0.9904,0.7676,19,4,True,114
303.3025,297.5671,5.7355,1.93,5.3887,225.6727,126.7554,18.2664,36.2478,0.59,-0.41,88.4094,0.25,0.2092,0.7121,13,12.1239,122.3043,62.3101,1.2366,1.2706,10,5,True,115
